exercise_id,exercise_name,type,target_muscles,primary_attributes,intensity_level,equipment_needed,category,description,target_muscles_list,primary_attributes_list,m_arm,m_arms,m_back,m_chest,m_core,m_full body,m_glutes,m_grip,m_hamstrings,m_hips,m_legs,m_lower back,m_shoulders,a_agility,a_balance,a_cardiovascular,a_control,a_coordination,a_endurance,a_explosiveness,a_power,a_speed,a_stability,a_stamina,a_strength,intensity_norm,features_text
20,battle rope wave,Weight,"shoulders, arms, core",endurance,7,Battle Rope,conditioning,develops shoulder endurance and cardiovascular capacity,"['shoulders', 'arms', 'core']",['endurance'],0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,"shoulders, arms, core endurance conditioning develops shoulder endurance and cardiovascular capacity"
21,box jump,Bodyweight,"legs, core",explosiveness,8,Box,conditioning,increases lower body explosiveness and coordination,"['legs', 'core']",['explosiveness'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,"legs, core explosiveness conditioning increases lower body explosiveness and coordination"
22,farmer s carry,Weight,"grip, shoulders, core",strength,7,Dumbell,conditioning,"builds grip, posture, and core stability under load","['grip', 'shoulders', 'core']",['strength'],0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,"grip, shoulders, core strength conditioning builds grip, posture, and core stability under load"
23,shoulder press,Weight,"shoulders, arms",strength,7,Dumbell,upper body,builds pressing strength for tackling and rucking,"['shoulders', 'arms']",['strength'],0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,"shoulders, arms strength upper body builds pressing strength for tackling and rucking"
24,russian twist,Bodyweight,core,stability,6,None,core,strengthens rotational core control for passing and tackling,['core'],['stability'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,core stability core strengthens rotational core control for passing and tackling
25,mountain climber,Bodyweight,"core, legs",endurance,7,None,conditioning,improves agility and core endurance under fatigue,"['core', 'legs']",['endurance'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,"core, legs endurance conditioning improves agility and core endurance under fatigue"
26,barbell row,Weight,"back, shoulders, core",strength,8,Barbell,upper body,builds back strength for tackling and upper body stability,"['back', 'shoulders', 'core']",['strength'],0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.75,"back, shoulders, core strength upper body builds back strength for tackling and upper body stability"
27,jump lunge,Bodyweight,"legs, core",explosiveness,8,None,conditioning,boosts unilateral leg power for sprint take offs,"['legs', 'core']",['explosiveness'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,"legs, core explosiveness conditioning boosts unilateral leg power for sprint take offs"
28,overhead squat,Weight,"legs, core, shoulders",stability,9,Barbell,power,enhances full body stability and coordination under load,"['legs', 'core', 'shoulders']",['stability'],0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,"legs, core, shoulders stability power enhances full body stability and coordination under load"
29,wall sit,Bodyweight,"legs, core",endurance,6,None,conditioning,improves muscular endurance in lower body,"['legs', 'core']",['endurance'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,"legs, core endurance conditioning improves muscular endurance in lower body"
30,kettlebell swing,Weight,"hips, glutes, core",explosiveness,8,Kettleball,conditioning,builds explosive hip drive and posterior strength,"['hips', 'glutes', 'core']",['explosiveness'],0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,"hips, glutes, core explosiveness conditioning builds explosive hip drive and posterior strength"
